"nid","Sequence","Judge.Name","Other.Nominations.Recess.Appointments"
1392266,2,"Dever, James C. III","Nominated to U.S. District Court for the Eastern District of North Carolina, January 7, 2003; no Senate vote"
1379996,1,"Devitt, Edward James","Nominated to U.S. District Court for the District of Minnesota, November 16, 1954; no Senate vote"
1392156,1,"Diamond, Paul Steven","Nominated to U.S. Court of Appeals for the Third Circuit, July 24, 2008; no Senate vote"
1380016,1,"Dick, Robert Paine","Received recess appointment to U.S. District Courts for the Albemarle, Cape Fear and Pamptico Districts of North Carolina, May 29, 1865; declined appointment"
1394191,1,"Dick, Shelly Deckert","Nominated to U.S. District Court for the Middle District of Louisiana, April 25, 2012; no Senate vote"
1390676,1,"Dimitrouleas, William P.","Nominated to U.S. District Court for the Southern District of Florida, October 2, 1992; no Senate vote"
6273446,1,"Domenico, Daniel Desmond","Nominated to U.S. District Court for the District of Colorado, October 2, 2017; no Senate vote"
6273446,2,"Domenico, Daniel Desmond","Nominated to U.S. District Court for the District of Colorado, January 8, 2018; no Senate vote"
1380106,1,"Donald, Bernice Bouie","Nominated to U.S. Court of Appeals for the Sixth Circuit, December 1, 2010; no Senate vote"
1394356,1,"Donato, James","Nominated to U.S. District Court for the Northern District of California, June 20, 2013; no Senate vote"
1394806,1,"Donnelly, Ann Marie","Nominated to U.S. District Court for the Eastern District of New York, November 20, 2014; no Senate vote"
1391601,1,"Dorr, Richard Everett","Nominated to U.S. District Court for the Western District of Missouri, September 9, 1992; no Senate vote"
1394256,1,"Dorsey, Jennifer Anna","Nominated to U.S. District Court for the District of Nevada, September 19, 2012; no Senate vote"
1394801,1,"Drozd, Dale Alan","Nominated to U.S. District Court for the Eastern District of California, November 12, 2014; no Senate vote"
4517676,1,"Duncan, Stuart Kyle","Nominated to U.S. Court of Appeals for the Fifth Circuit, October 2, 2017; no Senate vote"
1380291,1,"Durell, Edward Henry","Nominated to U.S. District Court for the Eastern District of Louisiana, January 5, 1864; Senate returned nomination to president, February 3, 1864"
1393181,1,"Durfee, James Randall","Nominated to Court of Claims, August 25, 1959; no Senate vote"
1380311,1,"Dwyer, William Lee","Nominated to U.S. District Court for the Western District of Washington, September 26, 1986; no Senate vote"
1391141,1,"Dyk, Timothy B.","Nominated to U.S. Court of Appeals for the Federal Circuit, April 1, 1998; no Senate vote"
1391316,1,"Eagan, Claire","Nominated to U.S. District Court for the Northern District of Oklahoma, August 2, 2001; no Senate vote"
