"nid","Sequence","Judge.Name","School","Degree","Degree.Year"
9214156,2,"Crouse, Toby Jon","University of Kansas School of Law","J.D.","2000"
1379646,1,"Crow, Sam A.","University of Kansas","B.A.","1949"
1379646,2,"Crow, Sam A.","Washburn University School of Law","J.D.","1952"
1379651,1,"Crowley, John Powers","DePaul University College of Law","LL.B.","1960"
1379651,2,"Crowley, John Powers","New York University School of Law","LL.M.","1961"
9354851,1,"Crytzer, Katherine Amber","Middle Tennessee State University","B.S.","2006"
9354851,2,"Crytzer, Katherine Amber","George Mason University School of Law (now Antonin Scalia Law School)","J.D.","2009"
1379656,1,"Cudahy, Richard Dickson","U.S. Military Academy","B.S.","1948"
1379656,2,"Cudahy, Richard Dickson","Yale Law School","J.D.","1955"
8869816,1,"Cullen, Thomas Tullidge","Furman University","B.A.","2000"
8869816,2,"Cullen, Thomas Tullidge","William and Mary Law School","J.D.","2004"
13760981,1,"Cummings, Jeffrey Irvine","Michigan State University","B.A.","1984"
13760981,2,"Cummings, Jeffrey Irvine","Northwestern University School of Law (now Pritzker School of Law)","J.D.","1987"
1379661,1,"Cummings, Samuel Ray","Texas Technological College (now Texas Tech University)","B.B.A.","1967"
1379661,2,"Cummings, Samuel Ray","Baylor University School of Law","J.D.","1970"
1379666,1,"Cummings, Walter Joseph","Yale University","B.A.","1937"
1379666,2,"Cummings, Walter Joseph","Harvard Law School","LL.B.","1940"
10376611,1,"Cunningham, Tiffany Patrice","Massachusetts Institute of Technology","S.B.","1998"
10376611,2,"Cunningham, Tiffany Patrice","Harvard Law School","J.D.","2001"
1394046,1,"Curiel, Gonzalo Paul","Indiana University","B.A.","1976"
1394046,2,"Curiel, Gonzalo Paul","Indiana University School of Law -- Bloomington (now Maurer School of Law)","J.D.","1979"
1379671,1,"Curran, Edward Matthew","Catholic University of America, Columbus School of Law","LL.B.","1927"
1379671,2,"Curran, Edward Matthew","University of Maine","A.B.","1928"
1379676,1,"Curran, Thomas John","Marquette University","B.N.S.","1945"
1379676,2,"Curran, Thomas John","Marquette University Law School","LL.B.","1948"
1379681,1,"Currie, Cameron McGowan","University of South Carolina","B.A.","1970"
1379681,2,"Currie, Cameron McGowan","George Washington University Law School","J.D.","1975"
1379686,1,"Curtin, John Thomas","Canisius College","B.S.","1946"
1379686,2,"Curtin, John Thomas","University of Buffalo Law School","LL.B.","1949"
1379691,1,"Curtis, Benjamin Robbins","Harvard Law School",""," "
1379691,2,"Curtis, Benjamin Robbins","Harvard University","A.B.","1829"
1379696,1,"Curtis, Jesse William, Jr.","University of Redlands","B.A.","1928"
1379696,2,"Curtis, Jesse William, Jr.","Harvard Law School","J.D.","1932"
1379701,1,"Cushing, William","Harvard College","A.B.","1751"
1379701,2,"Cushing, William","Read law","","1755"
1379706,1,"Cushman, Edward E.","Read law, Iowa","","1884"
1379706,2,"Cushman, Edward E.","Read law, Nebraska","","1890"
1379711,1,"Cuyler, Jeremiah La Touche","Read law","","1789"
1379716,1,"Cyr, Conrad Keefe","College of the Holy Cross","B.S.","1953"
1379716,2,"Cyr, Conrad Keefe","Yale Law School","J.D.","1956"
1393661,1,"D'Agostino, Mae Avila","Siena College","B.A.","1977"
1393661,2,"D'Agostino, Mae Avila","Syracuse University College of Law","J.D.","1980"
1379721,1,"Dallas, George Mifflin","Read law","","1859"
1393426,1,"Dallinger, Fredrick William","Harvard College","A.B.","1893"
1393426,2,"Dallinger, Fredrick William","Harvard University","A.M.","1894"
1393426,3,"Dallinger, Fredrick William","Harvard Law School","LL.B.","1897"
1393681,1,"Dalton, Roy Bale, Jr.","University of Florida","B.A.","1974"
1393681,2,"Dalton, Roy Bale, Jr.","University of Florida College of Law (now Fredric G. Levin College of Law)","J.D.","1976"
1379726,1,"Dalton, Ted","College of William and Mary","A.B.","1924"
1379726,2,"Dalton, Ted","William and Mary Law School","LL.B.","1926"
1379731,1,"Daly, T. F. Gilroy","Georgetown College (now Georgetown University)","B.A.","1952"
1379731,2,"Daly, T. F. Gilroy","Yale Law School","LL.B.","1957"
1379736,1,"Dalzell, Stewart R.","University of Pennsylvania, Wharton School","B.S.","1965"
1379736,2,"Dalzell, Stewart R.","University of Pennsylvania Law School (now Carey Law School)","J.D.","1969"
13761531,1,"Damian, Melissa","Princeton University","B.A.","1990"
13761531,2,"Damian, Melissa","University of Miami School of Law","J.D.","1995"
1390461,1,"Damrell, Frank C., Jr.","University of California, Berkeley","B.A.","1961"
1390461,2,"Damrell, Frank C., Jr.","Yale Law School","LL.B.","1964"
1379741,1,"Danaher, John Anthony","Yale Law School",""," "
1379741,2,"Danaher, John Anthony","Yale University","A.B.","1920"
13648546,1,"Daniel, Jeremy Christen","Illinois Wesleyan University","B.S.","2000"
13648546,2,"Daniel, Jeremy Christen","Loyola University Chicago School of Law","J.D.","2007"
1379746,1,"Daniel, Peter Vivian","Princeton University",""," "
1379746,2,"Daniel, Peter Vivian","Read law","","1808"
1379751,1,"Daniel, Wiley Young","Howard University","B.A.","1968"
1379751,2,"Daniel, Wiley Young","Howard University School of Law","J.D.","1971"
1391106,1,"Daniels, George B.","Yale University","B.A.","1975"
1391106,2,"Daniels, George B.","University of California, Berkeley, School of Law","J.D.","1978"
1379756,1,"Daronco, Richard Joseph","Providence College","B.A.","1953"
1379756,2,"Daronco, Richard Joseph","Albany Law School","LL.B.","1956"
1379761,1,"Darr, Leslie Rogers","Cumberland School of Law","LL.B.","1909"
1391241,1,"Darrah, John W.","Loyola University Chicago","B.S.","1965"
1391241,2,"Darrah, John W.","Loyola University Chicago School of Law","J.D.","1969"
1393741,1,"Darrow, Sara Lynn","Marquette University","B.A.","1992"
1393741,2,"Darrow, Sara Lynn","St. Louis University School of Law","J.D.","1997"
1379766,1,"Daugherty, Frederick Alvin","Cumberland School of Law","LL.B.","1933"
1379771,1,"Daughtrey, Martha Craig","Vanderbilt University","B.A.","1964"
1379771,2,"Daughtrey, Martha Craig","Vanderbilt University Law School","J.D.","1968"
13761905,1,"Davenport, Sarah Morgan","New Mexico State University","B.A.","1998"
13761905,2,"Davenport, Sarah Morgan","University of New Mexico School of Law","J.D.","2006"
1379776,1,"Davidson, Glen H.","University of Mississippi","B.A.","1962"
1379776,2,"Davidson, Glen H.","University of Mississippi School of Law","J.D.","1965"
1379781,1,"Davidson, Thomas Whitfield","Read law","","1903"
1379786,1,"Davies, Elmer David","Vanderbilt University Law School","LL.B.","1922"
1379791,1,"Davies, John G.","University of Michigan","B.A.","1953"
1379791,2,"Davies, John G.","University of California, Los Angeles, School of Law","LL.B.","1959"
